stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,t2_close,2,0.66,0.9998,-0.0005,0.0265,0.406,0.287,12,0.065,546.91695647191,48.12170713684812,58,-3292.087899949865
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,loss_rebound_t3,4,0.62,0.999,-0.001,0.0255,0.412,0.287,10,0.065,1049.4155534138727,39.18381787767662,66,-1717.0425919073214
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,strong_hold_t3,2,0.64,0.9998,-0.001,0.0255,0.412,0.275,10,0.065,315.92748313648985,36.44664832058282,55,-2122.070315333448
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,t2_close,2,0.68,0.9998,-0.001,0.0255,0.412,0.275,10,0.065,1210.0994421087594,19.17342918810656,58,844.887939535972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,2,0.66,0.999,-0.0005,0.0255,0.412,0.275,10,0.06,1117.6238284658693,27.93417352535012,57,-298.8769945761451
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,4,0.68,0.999,-0.0005,0.0265,0.412,0.287,10,0.06,1374.7347958724815,39.18381787767662,66,-1391.7233494487125
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,loss_rebound_t3,3,0.7,0.999,-0.0005,0.0265,0.406,0.275,10,0.06,474.2470462806826,43.12557117516367,60,-2765.221494738958
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,t2_close,4,0.7,1.0,-0.0005,0.0255,0.406,0.287,12,0.06,522.9384052266298,31.17382620363473,67,-1282.3207392095378
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,loss_rebound_t3,3,0.7,0.9998,-0.001,0.0255,0.406,0.275,12,0.06,236.71181833947753,46.08692295594001,62,-3358.118936373324
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,loss_rebound_t3,3,0.62,0.999,-0.0005,0.0265,0.406,0.287,12,0.06,1023.8726293818274,20.797164147259746,65,463.8129317106577
